,Rate - Valid from,Rate - Valid to,Origin Port (name),Origin Port (code),Destination Port (name),Destination Port (code),Customer,Carrier,Contract Number,Commodity,THC USED,"BAS, Currency","BAS, 20DC","BAS, 40DC","BAS, 40HC","CFD, Currency","CFD, 20DC","CFD, 40DC","CFD, 40HC","CFO, Currency","CFO, 20DC","CFO, 40DC","CFO, 40HC","DHC, Currency","DHC, 20DC","DHC, 40DC","DHC, 40HC","ERS, Currency","ERS, 20DC","ERS, 40DC","ERS, 40HC","EXP, Currency","EXP, 20DC","EXP, 40DC","EXP, 40HC","IMP, Currency","IMP, 20DC","IMP, 40DC","IMP, 40HC","LSS, Currency","LSS, 20DC","LSS, 40DC","LSS, 40HC","OHC, Currency","OHC, 20DC","OHC, 40DC","OHC, 40HC","PSS, Currency","PSS, 20DC","PSS, 40DC","PSS, 40HC","RHI, Currency","RHI, 20DC","RHI, 40DC","RHI, 40HC","EBS, Currency","EBS, 20DC","EBS, 40DC","EBS, 40HC","PAE, Currency","PAE, 20DC","PAE, 40DC","PAE, 40HC","SBF, Currency","SBF, 20DC","SBF, 40DC","SBF, 40HC"
0,"Anqing, China","Cochin, India","Anqing, China",CNAQG,"Cochin, India",INCOK,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,760,1010,1010,USD,,,,USD,,,,INR,10175,13500,13500,USD,,,,CNY,100,100,100,INR,1600,2600,2600,USD,12,24,24,CNY,563,856,856,USD,,,,,,,,,,,,,,,,,,,
1,"Anqing, China","Colombo, Sri Lanka","Anqing, China",CNAQG,"Colombo, Sri Lanka",LKCMB,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,DTHC,USD,760,1010,1010,USD,,,,USD,,,,USD,,,,USD,,,,CNY,100,100,100,USD,,,,USD,12,24,24,CNY,563,856,856,USD,,,,,,,,,,,,,,,,,,,
2,"Anqing, China","Ennore Chennai, India","Anqing, China",CNAQG,"Ennore Chennai, India",INMAA,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,760,860,860,USD,,,,USD,,,,INR,5775,8150,8150,USD,,,,CNY,100,100,100,INR,1600,2600,2600,USD,12,24,24,CNY,563,856,856,USD,,,,,,,,,,,,,,,,,,,
3,"Anqing, China","Haldia Port, India","Anqing, China",CNAQG,"Haldia Port, India",INHAL,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1410,1760,1760,USD,,,,USD,,,,INR,10000,14500,14500,USD,,,,CNY,100,100,100,INR,1600,2600,2600,USD,12,24,24,CNY,563,856,856,USD,,,,,,,,,,,,,,,,,,,
4,"Anqing, China","Kolkata, India","Anqing, China",CNAQG,"Kolkata, India",INCCU,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1410,1760,1760,USD,,,,USD,,,,INR,10000,14500,14500,USD,,,,CNY,100,100,100,INR,1600,2600,2600,USD,12,24,24,CNY,563,856,856,USD,,,,,,,,,,,,,,,,,,,
5,"Anqing, China","Krishnapatnam, India","Anqing, China",CNAQG,"Krishnapatnam, India",INKRI,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,810,960,960,USD,,,,USD,,,,INR,4910,7010,7010,USD,,,,CNY,100,100,100,INR,1600,2600,2600,USD,12,24,24,CNY,563,856,856,USD,,,,,,,,,,,,,,,,,,,
6,"Anqing, China","Male, Maldives","Anqing, China",CNAQG,"Male, Maldives",MVMLE,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1750,2790,2790,USD,,,,USD,,,,,,,,USD,,,,CNY,100,100,100,USD,100,200,200,USD,12,24,24,CNY,563,856,856,USD,,,,USD,125,250,250,,,,,,,,,,,,
7,"Anqing, China","Mangalore, India","Anqing, China",CNAQG,"Mangalore, India",INIXE,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,885,1235,1235,USD,,,,USD,,,,INR,4845,6950,6950,USD,,,,CNY,100,100,100,INR,1600,2600,2600,USD,12,24,24,CNY,563,856,856,USD,,,,,,,,,,,,,,,,,,,
8,"Anqing, China","Marmagao, India","Anqing, China",CNAQG,"Marmagao, India",INMRM,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1093,1550,1550,USD,,,,USD,,,,INR,6335,10170,10170,USD,,,,CNY,100,100,100,INR,1600,2600,2600,USD,12,24,24,CNY,563,856,856,USD,,,,,,,,,,,,,,,,,,,
9,"Anqing, China","Tuticorin, India","Anqing, China",CNAQG,"Tuticorin, India",INTUT,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1010,1210,1210,USD,,,,USD,,,,INR,5275,7200,7200,USD,,,,CNY,100,100,100,INR,1600,2600,2600,USD,12,24,24,CNY,563,856,856,USD,,,,,,,,,,,,,,,,,,,
10,"Anqing, China","Visakhapatnam, India","Anqing, China",CNAQG,"Visakhapatnam, India",INVTZ,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,760,860,860,USD,,,,USD,,,,INR,6700,9950,9950,USD,,,,CNY,100,100,100,INR,1600,2600,2600,USD,12,24,24,CNY,563,856,856,USD,,,,,,,,,,,,,,,,,,,
11,"Bangkok, Thailand","Cochin, India","Bangkok, Thailand",THBKK,"Cochin, India",INCOK,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,575,800,800,USD,,,,USD,,,,INR,10175,13500,13500,USD,,,,THB,200,200,200,INR,1600,2600,2600,,,,,THB,2800,4300,4300,USD,,,,,,,,USD,,,,,,,,,,,
12,"Bangkok, Thailand","Colombo, Sri Lanka","Bangkok, Thailand",THBKK,"Colombo, Sri Lanka",LKCMB,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,DTHC,USD,575,800,800,USD,,,,USD,,,,USD,,,,USD,,,,THB,200,200,200,USD,,,,,,,,THB,2800,4300,4300,USD,,,,,,,,USD,,,,,,,,,,,
13,"Bangkok, Thailand","Ennore Chennai, India","Bangkok, Thailand",THBKK,"Ennore Chennai, India",INMAA,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,325,550,550,USD,,,,USD,,,,INR,5775,8150,8150,USD,,,,THB,200,200,200,INR,1600,2600,2600,,,,,THB,2800,4300,4300,USD,,,,,,,,USD,,,,,,,,,,,
14,"Bangkok, Thailand","Haldia Port, India","Bangkok, Thailand",THBKK,"Haldia Port, India",INHAL,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1085,1650,1650,USD,,,,USD,,,,INR,10000,14500,14500,USD,,,,THB,200,200,200,INR,1600,2600,2600,,,,,THB,2800,4300,4300,USD,,,,,,,,USD,,,,,,,,,,,
15,"Bangkok, Thailand","Kolkata, India","Bangkok, Thailand",THBKK,"Kolkata, India",INCCU,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1085,1650,1650,USD,,,,USD,,,,INR,10000,14500,14500,USD,,,,THB,200,200,200,INR,1600,2600,2600,,,,,THB,2800,4300,4300,USD,,,,,,,,USD,,,,,,,,,,,
